reporting_year,mean_site_eui,mean_ghg_emissions,mean_energy_star_score,num_buildings
2019,109.16439094502336,2454.2523654749007,54.83563941299791,3430
2020,111.14569772625947,3010.4643869891574,57.318541996830426,3438
2021,90.99233676975945,2008.6404696132597,59.687772061733284,3582
2022,91.48819875776398,1919.9390777647518,60.50379294957608,3550
2023,89.59761904761905,1911.340431372549,59.981341625944026,3613
2024,81.72686798296554,1783.7481726283047,58.83651710350955,3438
