"Data Year","ID","Property Name","Reporting Status","Address","ZIP Code","Chicago Energy Rating","Exempt From Chicago Energy Rating","Community Area","Primary Property Type","Gross Floor Area - Buildings (sq ft)","Year Built","# of Buildings","Water Use (kGal)","ENERGY STAR Score","Electricity Use (kBtu)","Natural Gas Use (kBtu)","District Steam Use (kBtu)","District Chilled Water Use (kBtu)","All Other Fuel Use (kBtu)","Site EUI (kBtu/sq ft)","Source EUI (kBtu/sq ft)","Weather Normalized Site EUI (kBtu/sq ft)","Weather Normalized Source EUI (kBtu/sq ft)","Total GHG Emissions (Metric Tons CO2e)","GHG Intensity (kg CO2e/sq ft)","Latitude","Longitude","Location","Row_ID"
"2023","252322","Lavergne Court Apts.","Submitted","4938 W. Ouincy Street","60644","4.0",,"Austin","Multifamily Housing","144,765","1930","6","7,218","67","1,936,429.2","9,584,464.5",,,,"79.6","107","87.6","116.4","780","5.4","41.88478","-87.630801","POINT (-87.630801 41.88478)","2023-252322"
"2023","173767","Reside at Belmont Harbor","Submitted","426 West Belmont Avenue","60657","4.0",,"Lake View","Multifamily Housing","59,150","1933","1","2,000","88","597,168.6","4,395,658.9",,,,"84.4","106.3","94.7","117.1","317","5.4","41.929","-87.687024","POINT (-87.687024 41.929)","2023-173767"
"2023","175265",,"Not Submitted","3201 3219 W North Ave","60647","0.0",,"Humboldt Park","Commercial",,,,,,,,,,,,,,,,,"41.758154","-87.688106","POINT (-87.688106 41.758154)","2023-175265"
"2023","251905","Funston","Submitted","2010 N Central Park Ave","60647","1.0",,"Logan Square","K-12 School","107,729","1896","3",,"30","3,167,424.2","5,151,200.2",,,,"77.2","132.5","88.8","145.1","716.8","6.7","41.947966","-87.657299","POINT (-87.657299 41.947966)","2023-251905"
"2023","159311","Park Michigan","Submitted","1212 S. Michigan Ave.","60605","1.0",,"Near South Side","Multifamily Housing","238,677","1981","1",,"7","16,576,790.9","4,291,245",,,,"87.4","213.3","96.1","235.9","2,547.3","10.7","41.831097","-87.60837","POINT (-87.60837 41.831097)","2023-159311"
"2023","251389","Hendricks C A, Thomas A -CPS","Not Covered 2024","4320 S Princeton Ave","60609",,"true","Fuller Park","K-12 School",,,,,,,,,,,,,,,,,"41.769066","-87.643018","POINT (-87.643018 41.769066)","2023-251389"
"2023","254065","1345 S. Wabash Condominium Association","Submitted","1345 S. Wabash Ave.","60605","4.0",,"Near South Side","Multifamily Housing","175,500","2015","1",,"81","3,198,795.7","6,591,229",,,,"55.8","90.5","61.7","97.7","797.7","4.5","41.93643","-87.642729","POINT (-87.642729 41.93643)","2023-254065"
"2023","101263",,"Not Submitted","900  W Argyle St","60640","0.0",,"Uptown","Residential",,,,,,,,,,,,,,,,,"41.970287","-87.714786","POINT (-87.714786 41.970287)","2023-101263"
"2023","251427","Banneker Elementary -CPS","Not Covered 2024","6646 S Normal","60621",,"true","Englewood","K-12 School",,,,,,,,,,,,,,,,,"41.933463","-87.746792","POINT (-87.746792 41.933463)","2023-251427"
"2023","103475","Jeffery Place Apartments","Not Submitted","7235 7245 S Jeffery Blvd","60649","0.0",,"South Shore","Residential",,,,,,,,,,,,,,,,,"41.899128","-87.755849","POINT (-87.755849 41.899128)","2023-103475"
"2023","254114","Town Hall","Not Submitted","3600 N Halsted St","60613","0.0",,"Lake View","Residential",,,,,,,,,,,,,,,,,"41.856299","-87.622149","POINT (-87.622149 41.856299)","2023-254114"
"2023","112013",,"Not Submitted","6455  W Belle Plaine Ave","60634","0.0",,"Dunning","Residential",,,,,,,,,,,,,,,,,"41.899835","-87.627799","POINT (-87.627799 41.899835)","2023-112013"
"2023","254069","Lincoln Point Condominiums","Not Submitted","5924 N Lincoln Ave","60659","0.0",,"West Ridge","Residential",,,,,,,,,,,,,,,,,"41.954468","-87.648815","POINT (-87.648815 41.954468)","2023-254069"
"2023","173592","Fulton Court Townhome Association","Submitted","640 W Fulton","60661","4.0",,"Near West Side","Multifamily Housing","139,000","2000","1",,"97","1,723,081","4,380,506.8",,,,"43.9","67.8","50.7","75.2","473.8","3.4","41.881714","-87.657761","POINT (-87.657761 41.881714)","2023-173592"
"2023","160293","33 West Ontario Street","Submitted","33 W Ontario St.","60654","4.0",,"Near North Side","Multifamily Housing","1,043,204","2003","1",,"86","21,170,822.4","26,618,098.9",,,,"45.8","83.6","49.8","88.9","4,376","4.2","41.892257","-87.635754","POINT (-87.635754 41.892257)","2023-160293"
