community_area,reporting_year,median_site_eui,median_ghg_emissions,mean_energy_star_score,median_water_use,num_buildings
NORTH PARK,2021,83.5,824.6,65.1,,18
NORTH PARK,2022,82.85,848.35,61.90909090909091,,18
NORTH PARK,2023,84.1,873.2,64.0,,18
NORWOOD PARK,2019,94.6,713.4,39.30769230769231,3021.0,17
NORWOOD PARK,2020,119.4,1898.3,48.125,2234.0,16
NORWOOD PARK,2021,78.25,809.3,49.857142857142854,,16
NORWOOD PARK,2022,84.8,796.0,44.357142857142854,,16
NORWOOD PARK,2023,96.65,1042.9,46.07692307692308,,16
Near North Side,2019,72.6,1283.7,55.9,3704.0,37
Near North Side,2020,70.45,1668.5500000000002,54.55172413793103,8110.0,43
Near North Side,2021,61.25,981.0,64.40625,,47
Near North Side,2022,67.85,1115.4,56.52777777777778,,47
Near North Side,2023,61.55,1215.25,60.46666666666667,,47
Near North Side,2024,70.69999999999999,1318.45,57.166666666666664,7799.0,544
Near South Side,2019,65.05000000000001,982.3,64.66666666666667,4960.5,4
Near South Side,2020,68.6,1220.25,64.0,,9
Near South Side,2021,62.8,1138.1,64.28571428571429,,12
Near South Side,2022,63.400000000000006,1364.9,61.22222222222222,,11
Near South Side,2023,66.5,1003.9,72.25,,11
Near South Side,2024,66.5,1236.0,64.5,8092.0,100
Near West Side,2019,76.2,1547.0,55.2,3807.5,21
Near West Side,2020,72.3,1584.8000000000002,54.07142857142857,6901.0,30
Near West Side,2021,63.8,1158.8,69.0,,39
Near West Side,2022,63.35,1122.35,65.3913043478261,,38
Near West Side,2023,67.9,1235.0,65.28571428571429,,38
Near West Side,2024,63.65,1008.55,65.33018867924528,3826.0,306
New City,2024,70.75,537.35,53.42857142857143,3471.0,25
North Center,2019,68.05000000000001,886.25,56.6,3355.5,7
North Center,2020,73.6,876.4,48.75,3054.0,7
North Center,2021,78.2,768.3,48.25,,9
North Center,2022,55.1,386.0,79.0,,9
North Center,2023,61.400000000000006,455.65,65.2,,9
North Center,2024,66.45,739.15,50.15384615384615,2363.0,27
North Lawndale,2019,81.45,726.9,54.2,1622.5,7
North Lawndale,2020,66.0,535.3,74.4,,7
North Lawndale,2021,71.1,566.05,75.8,,7
North Lawndale,2022,54.3,450.4,95.0,,7
North Lawndale,2023,60.8,443.8,92.0,,7
North Lawndale,2024,66.9,482.9,81.875,,27
North Park,2019,84.0,730.0,95.0,413.5,5
North Park,2020,80.7,930.8499999999999,96.0,,5
North Park,2021,78.7,481.0,97.0,,5
North Park,2022,70.0,569.5,86.0,,5
North Park,2023,70.5,491.2,100.0,,5
North Park,2024,78.1,899.9,52.25,544.0,17
Norwood Park,2019,129.45,1145.65,26.0,4641.5,2
Norwood Park,2020,133.25,1630.5,28.0,,2
Norwood Park,2021,121.10000000000001,1022.8499999999999,34.0,,2
Norwood Park,2022,122.14999999999999,988.7,31.5,,2
Norwood Park,2023,135.45,988.2,28.5,,2
Norwood Park,2024,77.9,598.8,44.77777777777778,2464.0,21
O'Hare,2020,,,,,1
O'Hare,2021,57.2,1329.3,86.0,,1
O'Hare,2022,58.7,1248.2,82.0,,1
O'Hare,2023,59.6,1168.8,87.0,,1
O'Hare,2024,66.7,446.4,92.33333333333333,,3
OAKLAND,2019,41.4,847.8,70.66666666666667,4139.5,15
OAKLAND,2020,35.6,747.4,86.66666666666667,9319.0,14
OAKLAND,2021,106.0,817.9,54.90909090909091,,14
OAKLAND,2022,71.5,667.2,66.5,,14
OAKLAND,2023,107.5,900.6,55.666666666666664,,14
OHARE,2019,75.1,2059.7,65.3913043478261,4101.0,32
OHARE,2020,71.65,2001.2,73.28571428571429,13814.0,30
OHARE,2021,59.8,1731.8000000000002,75.66666666666667,,32
OHARE,2022,66.5,1799.9,73.57142857142857,,32
OHARE,2023,65.1,1610.3,73.71428571428571,,32
Oakland,2019,78.8,643.6500000000001,68.0,2773.0,2
Oakland,2020,99.5,702.6,44.0,2809.0,2
Oakland,2021,84.1,597.2,56.0,,2
Oakland,2022,88.2,579.2,47.0,,2
Oakland,2023,111.9,712.1,18.0,,2
Oakland,2024,86.8,706.3,54.2,7189.0,17
Ohare,2024,63.4,1400.1,71.94444444444444,14999.0,30
PORTAGE PARK,2019,78.4,587.65,73.0,679.0,20
PORTAGE PARK,2020,84.3,810.6,85.0,,19
PORTAGE PARK,2021,83.19999999999999,515.95,62.75,,21
PORTAGE PARK,2022,70.2,516.3,57.1,,21
PORTAGE PARK,2023,74.2,600.1,59.0,,21
PULLMAN,2019,104.1,1405.3,18.285714285714285,2052.5,11
PULLMAN,2020,94.1,671.5,31.25,,11
PULLMAN,2021,90.35,1410.5500000000002,28.625,,11
PULLMAN,2022,86.8,1353.7,31.5,,11
PULLMAN,2023,87.1,1259.0,30.666666666666668,,11
Portage Park,2019,54.55,502.20000000000005,71.0,2465.5,2
Portage Park,2020,52.95,497.5,77.0,,3
Portage Park,2021,49.8,393.9,93.0,,3
Portage Park,2022,54.1,452.3,63.5,,3
Portage Park,2023,57.0,441.95,59.0,,3
Portage Park,2024,64.4,545.2,58.5,,23
Pullman,2021,,,,,1
Pullman,2022,,,,,1
Pullman,2023,,,,,1
Pullman,2024,83.55,912.75,31.333333333333332,87680.5,13
RIVERDALE,2019,122.1,11379.5,32.0,716.0,3
RIVERDALE,2020,,,,,3
RIVERDALE,2021,115.5,2085.6,30.333333333333332,,3
RIVERDALE,2022,112.9,1131.4,20.0,,3
RIVERDALE,2023,133.0,11050.6,11.0,,3
ROGERS PARK,2019,88.15,484.85,59.770833333333336,2550.0,67
ROGERS PARK,2020,90.19999999999999,484.5,61.12820512820513,1990.0,65
ROGERS PARK,2021,82.9,454.8,61.234042553191486,,67
ROGERS PARK,2022,81.35,424.35,59.65853658536585,,67
ROGERS PARK,2023,89.3,447.3,59.05263157894737,,67
ROSELAND,2019,101.4,862.9,37.72727272727273,2816.5,17
ROSELAND,2020,82.0,447.9,58.8,6077.0,18
ROSELAND,2021,77.80000000000001,719.15,46.46666666666667,,18
ROSELAND,2022,74.4,710.4,50.3,,18
ROSELAND,2023,90.8,732.2,45.54545454545455,,18
Riverdale,2024,119.4,10199.7,12.0,,3
Rogers Park,2019,69.2,884.2,76.0,3172.5,12
Rogers Park,2020,101.75,1322.25,48.6,2.0,13
Rogers Park,2021,79.3,756.45,63.6,,14
Rogers Park,2022,77.05,755.3,64.4,,14
Rogers Park,2023,77.5,437.9,60.333333333333336,,14
Rogers Park,2024,77.0,432.7,64.16,2065.5,76
Roseland,2024,83.15,779.2,27.77777777777778,10788.5,15
SOUTH CHICAGO,2019,94.25,931.2,32.75,828.0,13
SOUTH CHICAGO,2020,75.3,,70.5,,13
SOUTH CHICAGO,2021,73.3,822.6,53.18181818181818,,13
SOUTH CHICAGO,2022,50.05,501.45000000000005,84.75,,13
SOUTH CHICAGO,2023,64.1,671.2,63.2,,13
SOUTH DEERING,2019,101.2,994.05,44.2,1511.0,8
SOUTH DEERING,2020,150.3,1517.0,68.0,16853.0,8
SOUTH DEERING,2021,85.95,842.8,49.833333333333336,,8
SOUTH DEERING,2022,80.05,780.45,61.5,,8
SOUTH DEERING,2023,105.8,805.9,46.0,,8
SOUTH LAWNDALE,2019,82.6,750.8,36.73684210526316,1811.0,23
SOUTH LAWNDALE,2020,247.04999999999998,54510.8,36.0,284903.0,23
SOUTH LAWNDALE,2021,89.35,881.85,39.10526315789474,,23
SOUTH LAWNDALE,2022,89.25,716.0,30.2,,22
SOUTH LAWNDALE,2023,95.8,722.5,35.22222222222222,,22
SOUTH SHORE,2019,105.8,805.15,47.775,4086.0,70
SOUTH SHORE,2020,108.05,771.2,43.483870967741936,4291.0,68
SOUTH SHORE,2021,97.1,648.1,45.81578947368421,,66
SOUTH SHORE,2022,94.05,684.8,48.38709677419355,,64
SOUTH SHORE,2023,96.44999999999999,675.65,50.225806451612904,,64
South Chicago,2024,59.35,593.3,58.166666666666664,1223.0,12
South Deering,2019,73.1,461.3,57.0,1854.0,1
South Deering,2020,64.9,492.6,46.0,1742.0,1
South Deering,2021,84.7,575.2,15.0,,1
South Deering,2022,85.0,556.2,14.0,,1
South Deering,2023,89.9,551.7,14.0,,1
South Deering,2024,82.8,760.2,51.2,4809.5,8
South Lawndale,2024,76.45,691.0,31.875,,20
South Shore,2019,100.75,728.85,43.0,1145.0,2
South Shore,2020,157.7,,17.0,,2
South Shore,2021,106.2,708.15,37.5,,2
South Shore,2022,118.5,762.95,28.0,,2
South Shore,2023,114.9,713.95,34.0,,2
South Shore,2024,94.94999999999999,623.75,46.5625,3848.5,64
UPTOWN,2019,84.2,740.9,62.45783132530121,3735.0,112
UPTOWN,2020,84.8,784.5,59.36486486486486,2892.0,110
UPTOWN,2021,81.35,840.6,59.49438202247191,,112
UPTOWN,2022,75.0,641.4,64.97435897435898,,112
UPTOWN,2023,80.0,751.1,63.93421052631579,,112
Uptown,2019,92.1,603.2,58.166666666666664,3130.0,6
Uptown,2020,99.2,624.2,61.4,3724.0,7
Uptown,2021,74.5,500.4,57.2,,10
Uptown,2022,51.65,420.70000000000005,72.83333333333333,,9
Uptown,2023,80.5,472.7,59.8,,9
Uptown,2024,76.9,732.75,60.80722891566265,5891.0,119
WASHINGTON HEIGHTS,2019,109.9,744.25,41.22222222222222,560.5,15
WASHINGTON HEIGHTS,2020,106.55,1078.0,45.142857142857146,1178.0,15
WASHINGTON HEIGHTS,2021,86.2,587.8499999999999,47.81818181818182,,15
WASHINGTON HEIGHTS,2022,92.4,725.9,62.42857142857143,,15
WASHINGTON HEIGHTS,2023,97.25,613.0,64.42857142857143,,15
WASHINGTON PARK,2019,87.35,479.79999999999995,56.583333333333336,2009.5,24
WASHINGTON PARK,2020,86.25,476.5,69.5,,24
WASHINGTON PARK,2021,80.4,499.4,57.15384615384615,,24
WASHINGTON PARK,2022,71.9,461.7,64.44444444444444,,24
WASHINGTON PARK,2023,80.2,401.4,58.333333333333336,,24
WEST ELSDON,2019,71.05000000000001,769.05,57.75,1542.0,7
WEST ELSDON,2020,149.65,1433.3999999999999,60.0,1088.5,7
WEST ELSDON,2021,64.9,664.75,67.25,,7
WEST ELSDON,2022,65.25,644.75,68.75,,7
WEST ELSDON,2023,66.65,608.55,63.666666666666664,,7
WEST ENGLEWOOD,2019,75.6,614.7,40.77777777777778,749.5,16
WEST ENGLEWOOD,2020,142.9,1704.2,40.0,,16
WEST ENGLEWOOD,2021,62.5,521.3,51.84615384615385,,17
WEST ENGLEWOOD,2022,70.35,769.3,56.166666666666664,,16
WEST ENGLEWOOD,2023,75.7,484.6,54.6,,16
WEST GARFIELD PARK,2019,104.9,636.5999999999999,37.0,1550.0,15
WEST GARFIELD PARK,2020,116.1,760.8,82.0,,15
WEST GARFIELD PARK,2021,104.4,743.7,32.714285714285715,,15
WEST GARFIELD PARK,2022,77.0,653.7,87.0,,14
WEST GARFIELD PARK,2023,109.6,979.5,37.5,,14
WEST LAWN,2019,82.55,1088.4,55.0,3832.0,14
WEST LAWN,2020,92.85,982.7,71.25,,13
WEST LAWN,2021,70.9,843.8,62.4,,13
WEST LAWN,2022,73.5,685.6,57.4,,13
WEST LAWN,2023,83.25,674.6,57.333333333333336,,13
WEST PULLMAN,2019,67.9,504.70000000000005,60.333333333333336,1596.0,8
WEST PULLMAN,2020,98.7,,68.0,,7
WEST PULLMAN,2021,63.2,427.15,57.4,,8
WEST PULLMAN,2022,69.8,653.0999999999999,59.5,,7
WEST PULLMAN,2023,48.4,277.4,74.0,,7
WEST RIDGE,2019,104.45,908.45,43.83870967741935,3492.0,40
WEST RIDGE,2020,107.3,1442.1,47.8235294117647,4904.5,39
WEST RIDGE,2021,95.3,774.7,46.689655172413794,,39
WEST RIDGE,2022,90.3,768.4,45.55555555555556,,38
WEST RIDGE,2023,96.8,1041.3,46.464285714285715,,38
WEST TOWN,2019,82.05,698.25,60.075471698113205,1961.0,77
WEST TOWN,2020,79.6,720.95,61.30769230769231,2789.0,76
WEST TOWN,2021,73.6,645.5,62.85245901639344,,77
WEST TOWN,2022,69.5,534.0,65.33333333333333,,76
WEST TOWN,2023,73.0,535.3,63.76086956521739,,76
WOODLAWN,2019,100.7,858.2,57.904761904761905,2482.0,37
WOODLAWN,2020,107.8,1290.8,55.57142857142857,184.0,37
WOODLAWN,2021,89.5,821.8,55.17391304347826,,37
WOODLAWN,2022,94.5,923.9,48.30769230769231,,37
WOODLAWN,2023,95.4,746.3,54.8235294117647,,37
Washington Heights,2024,70.6,397.9,64.14285714285714,4375.0,23
Washington Park,2020,,,,,1
Washington Park,2021,35.2,343.8,,,1
Washington Park,2022,39.3,330.4,79.0,,1
Washington Park,2023,46.3,349.0,72.0,,1
Washington Park,2024,,,,,13
West Elsdon,2024,54.05,657.4,75.6,1992.0,8
West Englewood,2024,77.4,1174.1999999999998,33.0,,16
West Garfield Park,2024,114.0,1023.5,34.5,,14
West Lawn,2021,,,,,1
West Lawn,2022,,,,,1
West Lawn,2023,,,,,1
West Lawn,2024,66.9,656.1,51.375,61489.0,17
West Pullman,2019,163.5,2525.2,,9682.0,1
West Pullman,2020,,,,,1
West Pullman,2021,133.5,1966.2,,,1
West Pullman,2022,139.6,1971.6,,,1
West Pullman,2023,151.3,1999.2,,,1
West Pullman,2024,71.0,609.95,59.0,,8
West Ridge,2019,75.6,403.45,78.0,3136.0,2
West Ridge,2020,76.35,524.7,76.0,3536.0,2
West Ridge,2021,76.25,396.5,74.0,,3
West Ridge,2022,74.05000000000001,375.9,75.5,,3
West Ridge,2023,84.6,488.6,58.0,,3
West Ridge,2024,84.4,719.6,47.5,2590.5,40
West Town,2019,87.5,606.2,57.166666666666664,1911.5,13
West Town,2020,87.75,649.55,45.1,,16
West Town,2021,70.5,617.6,62.0,,20
West Town,2022,65.05000000000001,519.15,53.8,,20
West Town,2023,75.4,551.5,61.0,,20
West Town,2024,60.7,503.1,64.07462686567165,2217.0,104
Woodlawn,2019,83.2,612.0,66.0,1245.0,1
Woodlawn,2020,89.0,,60.0,,1
Woodlawn,2021,78.8,543.5,71.0,,3
Woodlawn,2022,75.9,1101.6,74.5,,3
Woodlawn,2023,79.7,1113.4,74.5,,3
Woodlawn,2024,81.44999999999999,712.6,60.08695652173913,3586.5,41
"outside Chicago, in Bedford Park",2021,71.9,1158.0,70.0,,1
