"Data Year","ID","Property Name","Reporting Status","Address","ZIP Code","Chicago Energy Rating","Exempt From Chicago Energy Rating","Community Area","Primary Property Type","Gross Floor Area - Buildings (sq ft)","Year Built","# of Buildings","Water Use (kGal)","ENERGY STAR Score","Electricity Use (kBtu)","Natural Gas Use (kBtu)","District Steam Use (kBtu)","District Chilled Water Use (kBtu)","All Other Fuel Use (kBtu)","Site EUI (kBtu/sq ft)","Source EUI (kBtu/sq ft)","Weather Normalized Site EUI (kBtu/sq ft)","Weather Normalized Source EUI (kBtu/sq ft)","Total GHG Emissions (Metric Tons CO2e)","GHG Intensity (kg CO2e/sq ft)","Latitude","Longitude","Location"
"2018","103677","150 North Riverside Plaza","Submitted","150 N. Riverside Plaza","60606","4.0","false","NEAR WEST SIDE","Office","1,487,050","2017","1","16,716","68","75,694,128.2","1,865,254.6",,,,"52.2","143.8","52.6","145","12,691.9","8.5","41.88383779","-87.63851426","POINT (-87.63851426 41.88383779)"
"2018","115231","1209 West Sherwin","Submitted","1209 West Sherwin Avenue","60626","3.0","false","ROGERS PARK","Multifamily Housing","59,296","1922","1","2,055","61","760,231.1","5,722,207.3",,,,"109.3","137.2","113.3","141.4","430.4","7.3","42.01036185","-87.66829765","POINT (-87.66829765 42.01036185)"
"2018","132594","McKinley Park Lofts Condominium Association","Submitted","2323 W Pershing Rd","60609","4.0","false","NEW CITY","Multifamily Housing","207,826","1940","1","7,318","92","3,273,592.2","8,542,270.8",,,,"56.9","87.3","55.2","84.3","998.3","4.8","41.81195152","-87.65512794","POINT (-87.65512794 41.81195152)"
"2018","251667","Fort Dearborn Elementary -CPS","Exempt","9001 S Throop St","60620",,"true","WASHINGTON HEIGHTS",,"130,562",,"1","332",,,,,,,,,,,,,"41.730334","-87.65556","POINT (-87.65556 41.730334)"
"2018","159425","2019 - 3510 S Rhodes","Submitted","3510 S Rhodes Phase II","60608","4.0","false","DOUGLAS","Multifamily Housing","740,173","1970","3","20,821","100","6,466,886.4",,,,,"8.7","24.5","8.5","23.9","1,075.9","1.5","41.83083707","-87.61542242","POINT (-87.61542242 41.83083707)"
"2018","105604","Grenada","Submitted","525 W Arlington Pl","60614","2.5","false","LINCOLN PARK","Multifamily Housing","70,000","1919","1","4,519","53","979,673.9","6,339,875.9",,,,"104.6","134.3","102.4","131.9","499.7","7.1","41.92201051","-87.65461957","POINT (-87.65461957 41.92201051)"
"2018","101368","Addison Mall LLC","Submitted","2901-2949 W. Addison Avenue","60618","4.0","false","AVONDALE","Strip Mall","68,831","1988","1","2,986",,"3,114,302","6,688,275.9",,,,"142.4","228.7","139.6","225.8","873.4","12.7","41.94525218","-87.7010892","POINT (-87.7010892 41.94525218)"
"2018","251630","St Bride School Building","Not Submitted","7765 S Coles Ave","60649","0.0","false","SOUTH SHORE",,"103,410",,"1","81",,,,,,,,,,,,,"41.75502424","-87.55293307","POINT (-87.55293307 41.75502424)"
"2018","251564","Carter Eleme-CPS","Submitted","5740 S Michigan Ave","60637","1.0","false","WASHINGTON PARK","K-12 School","86,910","1913","1","742","20","1,742,233.4","6,561,174",,,,"95.5","135.4","93.6","133.4","638.3","7.3","41.78972345","-87.6232775","POINT (-87.6232775 41.78972345)"
"2018","251721","Payton Colle-CPS","Submitted","1010 N Wells St","60610","1.5","false","NEAR NORTH SIDE","K-12 School","207,870","2001","1","1,311","40","9,372,992.6","6,331,203.8",,,,"75.5","158.2","73.6","154.9","1,895.6","9.1","41.900877","-87.634388","POINT (-87.634388 41.900877)"
"2018","101894",,"Exempt","7600 7612 S SOUTH SHORE DR","60649",,"true","SOUTH SHORE",,"92,966",,"1","1,900",,,,,,,,,,,,,"41.76259226","-87.57231648","POINT (-87.57231648 41.76259226)"
"2018","251712","Penn Elementary -CPS","Exempt","1616 S Avers Ave","60623",,"true","NORTH LAWNDALE",,"158,325",,"1","7,825",,,,,,,,,,,,,"41.85814717","-87.7220919","POINT (-87.7220919 41.85814717)"
"2018","141524","949 W MADISON","Not Submitted","949 W MADISON","60607","0.0","false","NEAR WEST SIDE",,"137,880",,"1","1,956",,,,,,,,,,,,,"41.87399385","-87.651678","POINT (-87.651678 41.87399385)"
"2018","255930","811 Fulton","Not Submitted","803 W Fulton Market","60607","0.0","false","NEAR WEST SIDE",,"72,829",,"1","104",,,,,,,,,,,,,"41.88","-87.6548399","POINT (-87.6548399 41.88)"
"2018","221751","Appleville Condominium","Submitted","501 W. 24th Place","60616","4.0","false","ARMOUR SQUARE","Multifamily Housing","260,000","1978","1","12,406","94","6,906,266.7","6,025,800.1",,,,"49.7","98.7","48.9","95.8","1,469","5.7","41.84787679","-87.63924831","POINT (-87.63924831 41.84787679)"
"2018","251639","Kilmer Eleme-CPS","Submitted","6700 N Greenview Ave","60616","3.0","false","ROGERS PARK","K-12 School","106,366","1930","1","407","63","3,339,748.5","2,409,561.1",,,,"54.1","111.7","53.1","110.5","683.6","6.4","42.00367107","-87.6681389","POINT (-87.6681389 42.00367107)"
"2018","124961","2779 Milwaukee LLC","Not Submitted","3335 W. Diversey","60647","0.0","false","LOGAN SQUARE","Multifamily Housing","50,000","1920","1","3,812",,,,,,,,,,,,,"41.92075046","-87.70152825","POINT (-87.70152825 41.92075046)"
"2018","168225","2970 North Sheridan","Submitted","2970 North Sheridan","60657","4.0","false","LAKE VIEW","Multifamily Housing","244,440","1925","1","9,068","88","3,760,928.2","16,877,904.4",,,,"84.4","115.6","85.7","116.9","1,522.2","6.2","41.93626929","-87.63934761","POINT (-87.63934761 41.93626929)"
"2018","252319","Lakeside Terrace (7425 S. South Shore Dr.)","Submitted","7425 S. South Shore Dr.","60649","1.0","false","SOUTH SHORE","Multifamily Housing","55,352","1926","1","5,746","6","438,257.8","10,925,258.1",,,,"205.3","229.4","209.1","233.4","653.2","11.8","41.76149298","-87.55802925","POINT (-87.55802925 41.76149298)"
"2018","103849","Bicycle Station Lofts Condominium Association (1632-36 S. Indiana Ave.)","Submitted","1632 S. Indiana Ave.","60616","3.5","false","NEAR SOUTH SIDE","Multifamily Housing","59,040","1997","1","1,352","74","1,136,018.6","2,747,422.8",,,,"65.8","102.7","63.4","99","334.9","5.7","41.84550365","-87.63055693","POINT (-87.63055693 41.84550365)"
"2018","173725","2140 N Lincoln Park West","Submitted","2140 N Lincoln Park West","60614","2.0","false","LINCOLN PARK","Multifamily Housing","51,750","1926","1","3,887","29","1,509,117.4","5,769,999.9",,,,"140.7","198.7","141.9","198.5","557.5","10.8","41.92201051","-87.65461957","POINT (-87.65461957 41.92201051)"
"2018","127990","California Gardens","Submitted","2829 S. California Blvd.","60608","1.0","false","SOUTH LAWNDALE","Senior Care Community","72,844","1977","1","7,630","13","4,519,852.5","11,387,460.9",,,,"218.4","337.9","213.4","330","1,356.8","18.6","41.84064733","-87.69422719","POINT (-87.69422719 41.84064733)"
"2018","125543","Lincoln Village 1","Submitted","6101-6133 North Lincoln","60659","2.0","false","NORTH PARK","Strip Mall","54,435","1955","1","5,073",,"3,842,546.6","2,430,799.6",,,,"115.2","244.5","117.1","246.5","768.4","14.1","41.99301656","-87.71161461","POINT (-87.71161461 41.99301656)"
"2018","251584","Deneen Eleme-CPS","Submitted","7240 S Wabash Ave","60619","1.0","false","GREATER GRAND CROSSING","K-12 School","87,736","1955","1","534","22","3,126,190.4","5,392,175.6",,,,"97.1","164.3","95.2","162","806.5","9.2","41.76239877","-87.62373586","POINT (-87.62373586 41.76239877)"
"2018","256501","1117-37 W Monroe","Submitted","1117-1137 W Monroe","60607",,"true","NEAR WEST SIDE","Multifamily Housing","60,000","2006","1",,"74","1,767,689","4,132,728.1",,,,"98.3","154.8","96.4","151.1","513.6","8.6","41.86387004","-87.64681941","POINT (-87.64681941 41.86387004)"
"2018","252070","Lake Village East","Submitted","4700 South Lake Park Ave","60615","4.0","false","KENWOOD","Multifamily Housing","180,000","1971","3","5,612","80","3,238,510","11,740,069.9",,,,"83.2","118.9","84.1","119.4","1,162.3","6.5","41.8093257","-87.59248161","POINT (-87.59248161 41.8093257)"
"2018","251592","Cleveland ES-CPS","Submitted","3121 W Byron St","60618","2.5","false","IRVING PARK","K-12 School","97,461","1910","1","25","51","1,718,073.7","5,792,136.2",,,,"77.1","111.8","74.3","108.9","593.5","6.1","41.9516283","-87.7063067","POINT (-87.7063067 41.9516283)"
"2018","172584","ASPIRA Early College High School","Not Submitted","3986 W. Barry Ave.","60641","0.0","false","AVONDALE","K-12 School","58,000","1945","1","1,038","66","1,901,488.2","1,195,005.2",,,,"53.4","113.4","53","112.7","379.8","6.5","41.93769413","-87.72679086","POINT (-87.72679086 41.93769413)"
"2018","101867","125 South Wacker","Submitted","125 S Wacker Drive","60606","4.0","false","LOOP","Office","641,962","1974","1","4,106","52","40,048,895.9",,,,,"62.4","174.7","62.9","176.2","6,662.7","10.4","41.8797333","-87.63641137","POINT (-87.63641137 41.8797333)"
"2018","101744","One North Wacker","Submitted","One North Wacker Drive","60606","4.0","false","LOOP","Office","1,614,398","2001","1","13,351","69","93,247,946.9",,,"42,158,626.4",,"83.9","185.5","82.7","182.7","17,734.9","11","41.88230154","-87.636058","POINT (-87.636058 41.88230154)"
"2018","113569","Ritchie Tower Condominium","Submitted","1310 N. Ritchie Court","60610","3.0","false","NEAR NORTH SIDE","Multifamily Housing","181,680","1963","1","5,172","43","4,372,614.5","14,854,210.9",,,,"105.8","153.2","106.6","152.8","1,516.4","8.3","41.9037528","-87.63558845","POINT (-87.63558845 41.9037528)"
"2018","152378","C4901DRE (22116)","Submitted","4901 S DREXEL BLVD","60615","4.0","false","KENWOOD","Multifamily Housing","86,600","1960","1","6,350","66","2,941,324.5","1,712,240.3",,,,"53.7","115.9","52.7","112.7","580.3","6.7","41.80224043","-87.60332678","POINT (-87.60332678 41.80224043)"
"2018","103780","LondonHouse Chicago","Submitted","85 E Upper Wacker Dr","60601","1.5","false","LOOP","Hotel","390,430","2016","1","13,200","38","13,860,335.6","24,461,912.2",,,,"98.2","165.2","97.2","164.2","3,605.2","9.2","41.88794631","-87.62504954","POINT (-87.62504954 41.88794631)"
"2018","255147","American Red Cross Greater Chicago","Submitted","2200 W Harrison St","60612","2.0","false","Near West Side","Office","62,298","2003","1","504","38","3,987,423.6",,,,,"64","179.2","64","179.2","663.4","10.6","41.8776449","-87.6741299","POINT (-87.6741299 41.8776449)"
"2018","251295","Presence Resurrection Life Center","Submitted","7370 West Talcott Avenue","60631","1.0","false","NORWOOD PARK","Senior Care Community","89,268","1998","1","4,397","28","5,017,349.4","5,734,419.6",,,,"120.4","224.8","121.1","222.6","1,139.3","12.8","41.98896409","-87.81119146","POINT (-87.81119146 41.98896409)"
"2018","176022","Gateway Centre 176022 Building B (Jewel)","Submitted","7451-7521","60626","2.0","false","ROGERS PARK","Retail Store","78,136","1980","1",,,"5,619,523.1","580,921.2",,,,"79.4","209.2","76.7","201.9","965.7","12.4","42.01809002","-87.67364706","POINT (-87.67364706 42.01809002)"
"2018","117167","MooGoong Terrace","Submitted","4848 N. Kedzie Ave","60625","2.5","false","ALBANY PARK","Multifamily Housing","55,125","1983","1","3,680","51","2,175,269.4","1,816,615.7",,,,"72.4","145.1","70.7","139.6","458.4","8.3","41.97208235","-87.70234945","POINT (-87.70234945 41.97208235)"
"2018","251317","Hotel Monaco Chicago","Submitted","225 N. Wabash Avenue","60601-2404","1.0","false","LOOP","Hotel","122,666","1998","1",,"22","5,698,742.9","16,413,396.1",,,,"180.3","270.6","180.5","270.9","1,819.9","14.8","41.88651841","-87.62599173","POINT (-87.62599173 41.88651841)"
"2018","251696","Beasley Acad-CPS","Submitted","5235 S State St","60630","2.0","false","WASHINGTON PARK","K-12 School","154,984","1978","1","3,946","45","5,052,718.2","7,352,471.1",,,,"80","141.1","76.8","137.7","1,231.1","7.9","41.79939552","-87.62577916","POINT (-87.62577916 41.79939552)"
"2018","175479","5858 N Broadway","Submitted","5858 North Broadway Street","60660","2.5","false","EDGEWATER","Multifamily Housing","68,000","2008","1","1,390","37","2,155,786.9","2,397,598.5",,,,"67","125.8","66.5","125.5","486","7.1","41.99090057","-87.66660744","POINT (-87.66660744 41.99090057)"
"2018","251297","Presence St Elizabeth Professional Office Building","Submitted","1431 N Western Avenue","60622","1.0","false","WEST TOWN","Medical Office","71,110","1991","1",,"14","4,169,477.6","6,972,999.9",,,,"156.7","267.1","157.1","265.3","1,064","15","41.907693","-87.687079","POINT (-87.687079 41.907693)"
"2018","175745","Aviation Loft","Submitted","1340 S Michigan","60605","4.0","false","NEAR SOUTH SIDE","Multifamily Housing","50,000","2015","1","1,895","100","683,617.1","27,390",,,,"14.2","38.9","14","38.3","115.2","2.3","41.86863212","-87.62730687","POINT (-87.62730687 41.86863212)"
"2018","251476","JensenSchAca-CPS","Submitted","3024 W Harrison","60612","2.0","false","EAST GARFIELD PARK","K-12 School","64,440","1963","1","1,234","49","1,735,672.8","2,982,930",,,,"73.2","124","71","121.7","447.2","6.9","41.873768","-87.701596","POINT (-87.701596 41.873768)"
"2018","101868","AG 300 South Wacker Owner LLC","Submitted","300 South Wacker Drive","60606","4.0","false","LOOP","Office","600,713","1971","1","7,433","73","24,820,904.5","19,840,429.2",,,,"74.3","150.4","71.6","145.7","5,183.1","8.6","41.87767066","-87.6371323","POINT (-87.6371323 41.87767066)"
"2018","240429","The Buckingham Condominium Association","Submitted","360 E Randolph Street","60601","1.0","false","LOOP","Multifamily Housing","506,142","1981","1","12,767","18","30,738,513.5","3,338,041.7",,,,"67.3","177","65.6","172.2","5,291.1","10.5","41.884817","-87.61795883","POINT (-87.61795883 41.884817)"
"2018","260051","3710 N PINE GROVE LLC","Submitted","3710 N PINE GROVE AVE","60613","4.0","false","LAKE VIEW","Multifamily Housing","60,300","1971","1","2,418","71","1,352,830","4,052,392.3",,,,"89.6","133.4","89.7","133.5","440.3","7.3","41.95402016","-87.6620278","POINT (-87.6620278 41.95402016)"
"2018","177806","5514 S. Cornell Condominium Association Inc","Submitted","5514-5524 S Cornell Ave","60637","3.0","false","HYDE PARK","Multifamily Housing","54,634","1914","1","1,111","64","389,121.5","4,150,580.6",,,,"83.1","99.7","84.2","100.3","285.2","5.2","41.79445107","-87.5861799","POINT (-87.5861799 41.79445107)"
"2018","137657","Union Park Lofts Condominium Association","Submitted","1327 W. Washington Blvd.","60607","4.0","false","NEAR WEST SIDE","Multifamily Housing","100,200","2006","1",,"97","1,395,340.8","3,145,510.5",,,,"45.3","72","43.7","69.4","399.2","4","41.87399385","-87.651678","POINT (-87.651678 41.87399385)"
"2018","113396","Surfside Condominium","Submitted","5815 N Sheridan Rd","60660","4.0","false","EDGEWATER","Multifamily Housing","189,000","1960","1","7,598","83","3,180,654.5","10,978,736.4",,,,"74.9","108.1","74.7","107.9","1,112.3","5.9","41.99090057","-87.66660744","POINT (-87.66660744 41.99090057)"
"2018","252295","Renaissance Saint Luke","Submitted","1501 W. Belmont Ave.","60657","4.0","false","LAKE VIEW","Multifamily Housing","75,000","2005","1","2,612","100","807,482.9","1,540,950.1",,,,"31.3","51.7","31.3","51.7","216.2","2.9","41.93970456","-87.6663379","POINT (-87.6663379 41.93970456)"
"2018","240752","200 N. Dearborn CA","Submitted","200 N. Dearborn Street","60601","3.0","false","LOOP","Multifamily Housing","359,953","1989","1","12,220","42","9,467,706.3","22,861,539.6",,,,"89.8","140.3","91","141.6","2,789.4","7.7","41.88603988","-87.62982289","POINT (-87.62982289 41.88603988)"
"2018","159649","Belmont Apartments","Submitted","510 West Belmont Avenue","60657","4.0","false","LAKE VIEW","Multifamily Housing","279,147","1970","1",,"65","4,638,341","23,236,699.1",,,,"99.9","133.9","100.5","134.6","2,005.9","7.2","41.94030774","-87.64275862","POINT (-87.64275862 41.94030774)"
"2018","172529","One East 14th Place","Submitted","5 E. 14th Place","60605","3.0","false","NEAR SOUTH SIDE","Multifamily Housing","155,299","2000","1","6,093","70","4,468,464.4","5,743,315.5",,,,"65.8","119.4","63.2","114.4","1,048.4","6.8","41.86215282","-87.62699452","POINT (-87.62699452 41.86215282)"
"2018","173657","Chicago","Submitted","1 West Washington St","60602","1.0","false","LOOP","Hotel","85,000","1895","1","4,124","7","7,204,598.4","2,366,289.8",,"4,618,895.9",,"166.9","316","165.2","312","1,567.7","18.4","41.88319223","-87.62868858","POINT (-87.62868858 41.88319223)"
"2018","133858","Cassidy Tire","Submitted","344 N Canal St.","60606","4.0","false","NEAR WEST SIDE","Repair Services (Vehicle, Shoe, Locksmith, etc.)","80,000","1905","1","37",,"491,859.2","1,035,583.5",,,,"19.1","30.8",,,"136.8","1.7","41.88826884","-87.64036266","POINT (-87.64036266 41.88826884)"
"2018","251695","Moos Element-CPS","Submitted","1711 N California Ave","60647","2.5","false","WEST TOWN","K-12 School","139,709","1893","1","1,622","55","3,637,717.4","7,545,735.5",,,,"80","129.6","77.5","127","1,006","7.2","41.91347522","-87.69643236","POINT (-87.69643236 41.91347522)"
"2018","158316","Hard Rock Hotel","Submitted","230 N Michigan Ave","60601","2.0","false","LOOP","Hotel","300,000","1929","1","5,940","42","15,979,443.5","16,877,074.4",,,,"109.5","208.2","109.3","208","3,554.8","11.8","41.88660481","-87.62500515","POINT (-87.62500515 41.88660481)"
"2018","159005","Corliss HS -CPS","Exempt","821 E 103rd St","60628",,"true","PULLMAN",,"272,651",,"1",,,,,,,,,,,,,,"41.70649646","-87.60268998","POINT (-87.60268998 41.70649646)"
"2018","254115","Archer Building Lofts Condominium Association","Submitted","2310 S. Canal Street","60616","4.0","false","Armour Square","Multifamily Housing","99,000","2000","1","3,659","88","1,857,349.5","4,425,240.8",,,,"63.5","99.5","60.9","95.4","544","5.5","41.8842525","-87.63245","POINT (-87.63245 41.8842525)"
